,tdays,SSE_index
817,20160518,2828.178
818,20160519,2802.315
819,20160520,2792.888
820,20160523,2826.312
821,20160524,2839.682
822,20160525,2835.0293
823,20160526,2813.543
824,20160527,2817.968
825,20160530,2814.651
826,20160531,2822.593
827,20160601,2917.154
828,20160602,2911.219
829,20160603,2929.788
830,20160606,2940.994
831,20160607,2936.282
832,20160608,2932.376
833,20160613,2897.273
834,20160614,2824.229
835,20160615,2814.693
836,20160616,2878.402
837,20160617,2873.009
838,20160620,2887.636
839,20160621,2898.384
840,20160622,2872.734
841,20160623,2902.398
842,20160624,2883.759
843,20160627,2840.559
844,20160628,2885.011
845,20160629,2918.534
846,20160630,2931.481
847,20160701,2931.802
848,20160704,2924.293
849,20160705,2991.752
850,20160706,2998.521
851,20160707,3009.353
852,20160708,3000.326
853,20160711,2993.749
854,20160712,2992.52
855,20160713,3049.513
856,20160714,3054.975
857,20160715,3056.682
858,20160718,3047.637
859,20160719,3040.226
860,20160720,3034.714
861,20160721,3027.604
862,20160722,3038.118
863,20160725,3008.094
864,20160726,3014.04
865,20160727,3050.368
866,20160728,2980.501
867,20160729,2992.536
868,20160801,2971.949
869,20160802,2950.08
870,20160803,2963.215
871,20160804,2976.41
872,20160805,2978.778
873,20160808,2972.625
874,20160809,3001.306
875,20160810,3023.472
876,20160811,3013.678
877,20160812,3000.273
878,20160815,3056.484
879,20160816,3130.533
880,20160817,3106.991
881,20160818,3107.753
882,20160819,3100.391
883,20160822,3107.381
884,20160823,3081.572
885,20160824,3092.02
886,20160825,3073.444
887,20160826,3069.85
888,20160829,3068.46
889,20160830,3071.44
890,20160831,3072.916
891,20160901,3083.961
892,20160902,3057.495
893,20160905,3070.707
894,20160906,3071.055
895,20160907,3091.329
896,20160908,3089.953
897,20160909,3095.427
898,20160912,3037.507
899,20160913,3025.035
900,20160914,3008.904
901,20160919,3005.323
902,20160920,3027.172
903,20160921,3021.576
904,20160922,3038.422
905,20160923,3044.786
906,20160926,3028.243
907,20160927,2974.593
908,20160928,3000.695
909,20160929,2992.168
910,20160930,2994.251
911,20161010,3020.457
912,20161011,3051.622
913,20161012,3057.316
914,20161013,3057.972
915,20161014,3056.993
916,20161017,3064.691
917,20161018,3037.404
918,20161019,3085.749
919,20161020,3084.908
920,20161021,3081.389
921,20161024,3092.047
922,20161025,3127.968
923,20161026,3129.838
924,20161027,3112.603
925,20161028,3111.704
926,20161031,3097.188
927,20161101,3101.664
928,20161102,3115.729
929,20161103,3096.765
930,20161104,3126.349
931,20161107,3124.892
932,20161108,3140.944
933,20161109,3146.078
934,20161110,3148.544
935,20161111,3169.401
936,20161114,3187.709
937,20161115,3209.955
938,20161116,3208.497
939,20161117,3198.499
940,20161118,3207.193
941,20161121,3188.496
942,20161122,3220.983
943,20161123,3247.945
944,20161124,3237.428
945,20161125,3241.243
946,20161128,3270.047
947,20161129,3269.234
948,20161130,3272.142
949,20161201,3257.027
950,20161202,3270.121
951,20161205,3203.784
952,20161206,3202.029
953,20161207,3198.475
954,20161208,3225.55
955,20161209,3209.34
956,20161212,3233.666
957,20161213,3138.988
958,20161214,3149.377
959,20161215,3125.757
960,20161216,3111.515
961,20161219,3120.6963
962,20161220,3115.8984
963,20161221,3107.2396
964,20161222,3132.1558
965,20161223,3134.9292
966,20161226,3095.5787
967,20161227,3117.3868
968,20161228,3113.7671
969,20161229,3095.8447
970,20161230,3097.3454
971,20170103,3105.3085
972,20170104,3133.7873
973,20170105,3157.9063
974,20170106,3163.7761
975,20170109,3148.5317
976,20170110,3167.5701
977,20170111,3156.6856
978,20170112,3133.6015
979,20170113,3116.0827
980,20170116,3104.4924
981,20170117,3087.0295
982,20170118,3104.7664
983,20170119,3104.9715
984,20170120,3095.8185
985,20170123,3125.4209
986,20170124,3134.5921
987,20170125,3137.6462
988,20170126,3149.2167
989,20170203,3160.0816
990,20170206,3143.0931
991,20170207,3154.4046
992,20170208,3148.086
993,20170209,3164.6875
994,20170210,3183.0069
